Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Planulina ornata,Chris Meyer,MeyerC@si.edu,*Planulinid foraminiferan,Inventory,Protista: Foraminiferida,Planulina,ornata,*Planulinidae,*Rotaliida,*Globothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; rare; Central America to Oregon; epifaunal, clinging to hard substrate, ?passive suspension feeder.""",Yes,No,"""Spiral side strongly evolute, ventral side partially evolute in adults; test flattened; walls coarsely perforate; about 10 chambers in last whorl; sutures distinct, limbate, raised, and confluent with the blunt keel; aperture with a lip; diameter 0.55-1.0 mm, thickness 0.20-0.25 mm.""",0.547320379,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Poroeponides cribrorepandus,Chris Meyer,MeyerC@si.edu,*Eponidid foraminiferan,Inventory,Protista: Foraminiferida,Poroeponides,cribrorepandus,*Eponididae,*Rotaliida,*Globothalamea,*0-200,"Rocky, coarse-detritus","""Coastal, in strandline or tide pool deposits; most typically on rocky and coarse-detritus substrates; rare; epifaunal, clinging to hard substrate, ?herbivore or passive suspension feeder.""",Yes,No,"""Numerous round areal supplementary apertures scattered over apertural face; primary aperture from umbilicus to periphery; keeled; six to eight chambers per whorl; diameter up to 1.2 mm.""",0.634557455,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina angulostriata,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,angulostriata,*Hauerinidae,*Miliolida,*Miliolata,*0-200,Coarse sediments,"""Coastal; most common in subtidal regions with coarse sediments, but also present in low intertidal, often in washings from bryozoans, coralline algae, or algal holdfasts; few; Baja California to Moss Beach; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,Yes,"""Two keels on each chamber; chambers quadrate in apertural view; fine longitudinal ridges; length 1.5 mm, width 0.80 mm.""",0.08138183,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina bellatula,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,bellatula,*Hauerinidae,*Miliolida,*Miliolata,*0-200,"Strandline, estuarine","""Coastal, in strandline or tide pool deposits, and brackish to estuarine environments; uncommon; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,No,"""Chambers curved and of fairly uniform diameter; test length two times width; sutures little depressed; length 0.50 mm, width 0.25 mm.""",0.519616288,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina flexuosa,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,flexuosa,*Hauerinidae,*Miliolida,*Miliolata,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; Baja California to Moss Beach; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,No,"""Wall with deeply incised longitudinal grooves, sometimes anastomosing; length 0.90 mm, width 0.70 mm.""",0.989894076,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina laevigata,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,laevigata,*Hauerinidae,*Miliolida,*Miliolata,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; Baja California to Monterey Bay; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,No,"""Last-formed chambers thinner than earlier ones; chambers generally parallel to long axis of test; test length 2.5 times width; sutures depressed; length 0.80 mm, width 0.40 mm.""",0.093411761,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina lamarckiana,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,lamarckiana,*Hauerinidae,*Miliolida,*Miliolata,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,No,"""One keel on each chamber; test smooth; triangular in apertural view; aperture terminal, round, with simple tooth; length 0.80 mm, width 0.60 mm.""",0.928413237,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Quinqueloculina vulgaris,Chris Meyer,MeyerC@si.edu,*Quinqueloculine foraminiferan,Inventory,Protista: Foraminiferida,Quinqueloculina,vulgaris,*Hauerinidae,*Miliolida,*Miliolata,*0-200,"Holdfasts, bryozoans","""Found in low intertidal zone, in strandline or tide pool deposits, or among holdfasts of surfgrass and algae, bushy bryozoans, and coralline algae; few to common; epifaunal, free or clinging to plants or sediment, herbivore.""",Yes,No,"""Test nearly as wide as long; lenticular; smooth or with low costae on later chambers; aperture terminal, round, with bifid tooth; length >1.0 mm, width 0.60 mm.""",0.593450923,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reophax nana,Chris Meyer,MeyerC@si.edu,*Hormosinid foraminiferan,Inventory,Protista: Foraminiferida,Reophax,nana,*Hormosinidae,*Lituolida,*Tubothalamea,*0-200,Mudflats,"""Rare in coastal intertidal; few in brackish, estuarine; particularly abundant on mudflats; infaunal, detritivore.""",Yes,No,"""Test rigid; small and compressed; composed of a large number of chambers; chambers roughly rectangular, more broad than high; aperture terminal; length 0.80 mm.""",0.186874969,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Reophax scotti,Chris Meyer,MeyerC@si.edu,*Hormosinid foraminiferan,Inventory,Protista: Foraminiferida,Reophax,scotti,*Hormosinidae,*Lituolida,*Tubothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; infaunal, detritivore.""",Yes,No,"""Test flexible; thin and elongate; largely composed of chitin; chambers subcylindrical near the base, later ones overhanging previous chambers; aperture tiny and terminal; length ≥1.0 mm.""",0.778865353,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rosalina globularis,Chris Meyer,MeyerC@si.edu,*Rosalinid foraminiferan,Inventory,Protista: Foraminiferida,Rosalina,globularis,*Rosalinidae,*Rotaliida,*Globothalamea,*0-200,"Marine plants, invertebrates","""Coastal; test highly variable because it is usually securely attached to marine plants, invertebrates, rocks, wood, and pier pilings; one of the most abundant intertidal species, which can live and reproduce in turbulent rocky intertidal environments; early chambers wine-red color; at Moss Beach, very abundant on the hydroid Abietinaria inconstans and the bushy bryozoans Crisia occidentalis and Scrupocellaria californica. Rarely, a planktonic reproductive stage is recovered in sediments, originally described as Tretomphalus bulloides; epifaunal, clinging or attached, ?herbivore, omnivore.""",Yes,Yes,"""Test not elongate, sometimes irregular due to attachment to substrate; concavo-convex; chambers increasing gradually in size; about six chambers per whorl; early spiral sutures limbate and flush, in adult whorl nonlimbate and depressed; aperture irregular, low, from periphery to umbilicus, frequently connecting with the aperture of the previous chamber; diameter 0.30-0.50 mm.""",0.188927447,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rotorbinella campanulata,Chris Meyer,MeyerC@si.edu,*Rotorbinellid foraminiferan,Inventory,Protista: Foraminiferida,Rotorbinella,campanulata,*Discorbidae,*Rotaliida,*Globothalamea,*0-200,"Strandline, estuarine","""Coastal, in strandline or tide pool deposits, rock scrapings, and washings of bushy bryozoans and surfgrass; Mexico to the Russian River; sometimes in estuarine regions bordering the open ocean, such as Tomales Bay and the Russian River estuary; abundant; epifaunal, clinging, ?passive suspension feeder.""",Yes,No,"""Dorsal side convex, in a low spire; umbilical plug small; ventral side flat or slightly concave except for the last-formed chamber, which projects; periphery limbate; about six chambers in the last-formed whorl; primary aperture an elongate slit from periphery to umbilicus; secondary aperture umbilical, under the chamber extensions, showing along the sutures and central plug; diameter 0.25-0.40 mm.""",0.584465043,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Rotorbinella turbinata,Chris Meyer,MeyerC@si.edu,*Rotorbinellid foraminiferan,Inventory,Protista: Foraminiferida,Rotorbinella,turbinata,*Discorbidae,*Rotaliida,*Globothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; few; Baja California to Half Moon Bay; epifaunal-infaunal, ?detritivore.""",Yes,No,"""Dorsal side very strongly convex in a high, rounded spire; umbilical plug large; ventral side flat to slightly convex; periphery bluntly keeled; usually seven chambers in the last whorl; primary aperture an elongate slit extending from the periphery to the umbilicus; secondary aperture umbilical, under the chamber extensions, showing along the sutures and central plug; diameter 0.27-0.30 mm.""",0.265337361,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Saccammina alba,Chris Meyer,MeyerC@si.edu,*Saccamminid foraminiferan,Inventory,Protista: Foraminiferida,Saccammina,alba,*Saccamminidae,*Lituolida,*Tubothalamea,*0-200,Bryozoans,"""Coastal; abundant at Moss Beach, particularly on bushy bryozoans.""",Yes,No,"""Test not attached; subspherical; wall consists of large grains; aperture a simple opening at the end of a neck; diameter 0.70-0.80 mm.""",0.634724343,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Spirillina vivipara,Chris Meyer,MeyerC@si.edu,*Spirillinid foraminiferan,Inventory,Protista: Foraminiferida,Spirillina,vivipara,*Spirillinidae,*Spirillinida,*Spirillinata,*0-200,"Rock, coarse sand","""Coastal, in strandline or tide pool deposits; prefers rock and coarse sand deposits; found in folds of green and red algae; uncommon; epifaunal, clinging to hard substrates.""",Yes,No,"""Test two-chambered; coiling primarily planispiral; initial chamber globular; second chamber undivided, tubular, enrolled; test small with many overlapping whorls; surface smooth, hyaline; aperture at open end of tube; diameter 0.2-0.30 mm.""",0.135799248,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Textularia earlandi,Chris Meyer,MeyerC@si.edu,*Textulariid foraminiferan,Inventory,Protista: Foraminiferida,Textularia,earlandi,*Textulariidae,*Lituolida,*Tubothalamea,*0-200,"Strandline, estuarine","""Coastal and estuarine; coastal Mexico to Crescent City; epifaunal, ?clinging, ?detritivore.""",Yes,No,"""Test very elongate, minute; straight or slightly curved, 12 or more chambers; aperture a slit at the base of the apertural face; length 0.4-0.5 mm, width up to 0.1 mm.""",0.771584219,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Textularia schencki,Chris Meyer,MeyerC@si.edu,*Textulariid foraminiferan,Inventory,Protista: Foraminiferida,Textularia,schencki,*Textulariidae,*Lituolida,*Tubothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; epifaunal, ?clinging, ?detritivore.""",Yes,No,"""Test broadly triangular in front view; short; about six pairs of chambers, rapidly increasing in size; aperture a slit at the base of the apertural face; length up to 0.90 mm, width 0.50-0.60 mm.""",0.941865386,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina charlottensis,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,charlottensis,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Coastal, brackish","""Rare to few in coastal intertidal, and rare in brackish, estuarine; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Generally six chambers on ventral side, roughly triangular to bell-shaped; sutures on spiral side long and curved; test flat on ventral side; umbilicus slightly depressed; aperture narrow, ventral near the umbilicus; diameter 0.30-0.40 mm.""",0.61814358,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina hadai,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,hadai,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Mudflats, brackish","""Introduced from Japan; mudflats, brackish, and estuarine in bays and harbors; locally abundant, particularly in polluted environments; San Diego to Alaska; epifaunal or infaunal, herbivore or detritivore.""",Yes,Yes,"""Test high in side view; occasionally four but usually five inflated, subglobose chambers in the last whorl; umbilicus deep; sutures slightly curved on spiral side, nearly radial ventrally; wall grainy, coarsely arenaceous; color white, reddish brown, or yellowish brown; diameter 0.40-0.52 mm.""",0.756328741,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina inflata,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,inflata,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Marshes, mudflats","""Brackish, estuarine; locally abundant, particularly in marshes and on mudflats; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Fine-grained, smooth surface with a dull shine; chambers inflated; five to six chambers in last whorl; sutures distinct and nearly at right angles to edge of test; umbilicus open and deep; early chambers usually accentuated by being darker brown than the remaining chambers; aperture at base of final chamber; diameter 0.50-1.0 mm.""",0.770326569,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina kellettae,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,kellettae,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Beach, tide pool","""Coastal, brackish, estuarine; generally few, but locally abundant in coastal beach and tide pool faunas of Monterey Bay and San Francisco; rare in estuaries; Peru to Oregon; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Many chambers (10 or more) in last whorl; test extremely flat, scale-like; three to four whorls; ventral side slightly concave with gently curving sutures or lobed near edge of test; dorsal side slightly convex; diameter 0.25-0.40 mm.""",0.127251239,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina macrescens,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,macrescens,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Marshes, mudflats","""Brackish, estuarine; locally abundant, particularly in marshes and on mudflats; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Fewer chambers (five to eight) in last whorl; test flattened; three whorls; sutures nearly at right angles to edge of test; concavity of individual chambers due to the contraction of the test upon drying; 0.25-0.35 mm.""",0.068332664,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina pacifica,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,pacifica,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Strandline, tide pool","""Coastal; common species of the open continental shelf, where it is locally abundant, particularly in polluted or organically enriched environments; few intertidal, in strandline or tide pool deposits; epifaunal or infaunal, herbivore or detritivore.""",Yes,Yes,"""Chambers longer than broad on spiral side, somewhat rectangular; those on ventral side roughly triangular; sutures radial; four to five chambers in last coil; somewhat flat on ventral side, but not as flat as T. charlottensis; aperture a narrow slit at the base of the ventral face of the last-formed chamber; diameter 0.30-0.50 mm.""",0.753391018,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina rotaliformis,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,rotaliformis,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; few; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Generally four chambers on ventral side; sutures on spiral side long and curved; test flat on ventral side; umbilicus slightly depressed; aperture narrow, ventral near the umbilicus; diameter 0.30-0.50 mm.""",0.477511936,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Trochammina squamiformis,Chris Meyer,MeyerC@si.edu,*Trochamminid foraminiferan,Inventory,Protista: Foraminiferida,Trochammina,squamiformis,*Trochamminidae,*Trochamminida,*Tubothalamea,*0-200,"Strandline, tide pool","""Coastal, in strandline or tide pool deposits; uncommon; epifaunal or infaunal, herbivore or detritivore.""",Yes,No,"""Numerous chambers (eight to 15) in initial whorls on spiral side, higher than broad; chambers reduced to only six in final whorl; six chambers visible on ventral side, triangular, often with slightly raised lip-like portion over the aperture; spiral side convex, ventral side concave; diameter 0.25-0.30 mm.""",0.802875308,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Aggregata sp.,Chris Meyer,MeyerC@si.edu,*Coccidian parasite,Inventory,Protista: Parasitic and Commensal,Aggregata,sp.,*Aggregatidae,*Eucoccidiorida,*Conoidasida,*0-200,Octopus tissue,"""White spots are commonly seen under the skin of intertidal octopuses. These are cysts of Aggregata that are filled with spores.""",Yes,Yes,"""When these spores are released they are inadvertently ingested by crabs. The life cycle will be completed after the crab has been eaten by the octopus.""",0.379995025,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Boveria subcylindrica,Chris Meyer,MeyerC@si.edu,*Commensal ciliate,Inventory,Protista: Parasitic and Commensal,Boveria,subcylindrica,*Urceolariidae,*Mobilida,*Oligohymenophorea,*0-200,Sea cucumber respiratory tree,"""Sea cucumbers have ciliates in their respiratory tree.""",Yes,Yes,"""Commensal ciliate found in the respiratory tree of the sea cucumber Parastichopus californicus.""",0.963415569,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Entorhipidium echini,Chris Meyer,MeyerC@si.edu,*Sea urchin gut ciliate,Inventory,Protista: Parasitic and Commensal,Entorhipidium,echini,*Plagiopylidae,*Plagiopylida,*Plagiopylea,*0-200,Sea urchin intestine,"""The sea urchins, Strongylocentrotus purpuratus and Syndisyrinx franciscanus, have a species-rich and diverse (several families) array of commensal ciliates in their guts.""",Yes,Yes,"""These ingest breakdown products of algae eaten by the urchins. The herbivorous species are fed on by predatory forms.""",0.298468418,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Foettingeria actiniarum,Chris Meyer,MeyerC@si.edu,*Parasitic apostome ciliate,Inventory,Protista: Parasitic and Commensal,Foettingeria,actiniarum,*Foettingeriidae,*Apostomatida,*Oligohymenophorea,*0-200,Sea anemone gastrovascular cavity,"""Sea anemones have apostome trophonts (Foettingeria) in their gastrovascular cavity.""",Yes,Yes,"""Apostome ciliate that parasitizes sea anemones.""",0.188494618,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Foettingeria sp.,Chris Meyer,MeyerC@si.edu,*Parasitic apostome ciliate,Inventory,Protista: Parasitic and Commensal,Foettingeria,sp.,*Foettingeriidae,*Apostomatida,*Oligohymenophorea,*0-200,Sea anemone gastrovascular cavity,"""Sea anemones have apostome trophonts (Foettingeria) in their gastrovascular cavity.""",Yes,Yes,"""Apostome ciliate that parasitizes sea anemones.""",0.463031468,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Haplozoon axiothellae,Chris Meyer,MeyerC@si.edu,*Parasitic dinoflagellate,Inventory,Protista: Parasitic and Commensal,Haplozoon,axiothellae,*Haplozoidae,*Dinophyceae,*Dinoflagellata,*0-200,Parasitic in polychaete gut,"""In California, the gut of a maldanid polychaete, the bamboo worm, Axiothella rubrocincta, is commonly parasitized by the dinoflagellate Haplozoon axiothellae.""",Yes,No,"""This dinoflagellate is multicellular with cell differentiation, a representative of the little studied radiation of multicellular forms among the dinoflagellates.""",0.995427939,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Hematodinium sp.,Chris Meyer,MeyerC@si.edu,*Parasitic dinoflagellate,Inventory,Protista: Parasitic and Commensal,Hematodinium,sp.,*Syndiniceae,*Syndiniales,*Dinoflagellata,*0-200,Parasitic in crabs,"""These include species of Hematodinium that cause systemic and ultimately fatal infections of commercial crab species, including the blue crab, Callinectes sapidus, on the Atlantic coast of North America, and bitter crab disease of tanner crab, Chionoecetes bairdi, in southeastern Alaska.""",Yes,Yes,"""These species cause systemic and ultimately fatal infections of commercial crab species.""",0.912844244,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Lechriopyla mystax,Chris Meyer,MeyerC@si.edu,*Sea urchin gut ciliate,Inventory,Protista: Parasitic and Commensal,Lechriopyla,mystax,*Plagiopylidae,*Plagiopylida,*Plagiopylea,*0-200,Sea urchin intestine,"""The sea urchins, Strongylocentrotus purpuratus and Syndisyrinx franciscanus, have a species-rich and diverse (several families) array of commensal ciliates in their guts.""",Yes,Yes,"""These ingest breakdown products of algae eaten by the urchins. The herbivorous species are fed on by predatory forms.""",0.697764429,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Licnophora macfarlandi,Chris Meyer,MeyerC@si.edu,*Commensal ciliate,Inventory,Protista: Parasitic and Commensal,Licnophora,macfarlandi,*Licnophoridae,*Licnophorida,*Spirotrichea,*0-200,Sea cucumber respiratory tree,"""Sea cucumbers have ciliates in their respiratory tree.""",Yes,Yes,"""The latter are readily visible to the naked eye and are among the most morphologically complex cells known.""",0.786263815,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Plagiopyliella pacifica,Chris Meyer,MeyerC@si.edu,*Sea urchin gut ciliate,Inventory,Protista: Parasitic and Commensal,Plagiopyliella,pacifica,*Plagiopylidae,*Plagiopylida,*Plagiopylea,*0-200,Sea urchin intestine,"""The sea urchins, Strongylocentrotus purpuratus and Syndisyrinx franciscanus, have a species-rich and diverse (several families) array of commensal ciliates in their guts.""",Yes,Yes,"""Plagiopyliella pacifica is a predatory form that feeds on the herbivorous ciliates in the urchin gut.""",0.584520292,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Zygosoma globosum,Chris Meyer,MeyerC@si.edu,*Gregarine parasite,Inventory,Protista: Parasitic and Commensal,Zygosoma,globosum,*Lecudinidae,*Eugregarinorida,*Conoidasida,*0-200,Echiuran gut,"""The gut of the echiuran Urechis caupo often contains many white, shmoo-like trophozoites of the gregarine Zygosoma globosum.""",Yes,Yes,"""Only a few of these interesting gregarines have been described, and none have received much ecological study although they are common and easily quantified.""",0.161961675,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Acineta foetida,Chris Meyer,MeyerC@si.edu,*Suctorian ciliate,Inventory,Protista: Symbiotic and Attached,Acineta,foetida,*Acinetidae,*Endogenida,*Phyllopharyngea,*0-200,Crustacean exoskeleton,"""COPEPODS, AMPHIPODS, and DECAPODS will have stalked, encysted, or otherwise attached protozoans on their exoskeleton.""",Yes,No,"""Suctorian ciliate that attaches to crustacean exoskeletons.""",0.209530415,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cochliophilus depressus,Chris Meyer,MeyerC@si.edu,*Ancistrocomid ciliate,Inventory,Protista: Symbiotic and Attached,Cochliophilus,depressus,*Ancistrocomidae,*Thigmotrichida,*Oligohymenophorea,*0-200,Mollusk mantle,"""Gastropods, chitons, and bivalves have symbiotic ciliates crawling on or attached to their mantle, foot, and gills.""",Yes,No,"""Commensal ciliate found in the mantle cavity of the marsh snail Myosotella myosotis.""",0.129495592,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cochliophilus minor,Chris Meyer,MeyerC@si.edu,*Ancistrocomid ciliate,Inventory,Protista: Symbiotic and Attached,Cochliophilus,minor,*Ancistrocomidae,*Thigmotrichida,*Oligohymenophorea,*0-200,Mollusk mantle,"""Gastropods, chitons, and bivalves have symbiotic ciliates crawling on or attached to their mantle, foot, and gills.""",Yes,No,"""Commensal ciliate found in the mantle cavity of the marsh snail Myosotella myosotis.""",0.817605117,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Colligocineta furax,Chris Meyer,MeyerC@si.edu,*Ancistrocomid ciliate,Inventory,Protista: Symbiotic and Attached,Colligocineta,furax,*Ancistrocomidae,*Thigmotrichida,*Oligohymenophorea,*0-200,Polychaete symbiont,"""Symbiotic ciliate from the sabellid polychaete Laonome kröyeri.""",Yes,No,"""Ancistrocomid ciliate from the sabellid polychaete Laonome kröyeri.""",0.844070838,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cothurnia fecunda,Chris Meyer,MeyerC@si.edu,*Peritrich ciliate,Inventory,Protista: Symbiotic and Attached,Cothurnia,fecunda,*Vaginicolidae,*Sessilida,*Oligohymenophorea,*0-200,Hard surfaces,"""Ciliate that colonizes hard surfaces (glass slide traps).""",Yes,Yes,"""Loricate peritrich ciliate that attaches to various hard substrates.""",0.580956487,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
