Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptophytum lamellicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptophytum lamellicola Athanasiadis & W.H. Adey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptophytum microsporum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptophytum microsporum (Foslie) Athanasiadis & W.H. Adey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Leptosiphonia brodiei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Leptosiphonia brodiei (Dillwyn) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lessoniopsis littoralis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lessoniopsis littoralis (Farlow & Setchell ex J.E. Tilden) Reinke
Kathy Ann UC Berkelely Current and former names for California seaweeds,Levringiella gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Levringiella gardneri (Setchell) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Liagora californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Liagora californica Zeh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithophyllum dispar,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithophyllum dispar (Foslie) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithophyllum grumosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithophyllum grumosum (Foslie) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithophyllum imitans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithophyllum imitans Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithophyllum proboscideum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithophyllum proboscideum (Foslie) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothamnion,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothamnion
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothamnion australe,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothamnion australe (Foslie) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothamnion californicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothamnion californicum Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothamnion montereyicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothamnion montereyicum Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothamnion volcanum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothamnion volcanum E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lithothrix aspergillum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lithothrix aspergillum J.E. Gray
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lomentaria caseae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lomentaria caseae E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Loranthophycus californicus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Loranthophycus californicus E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Lychaete sakaii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Lychaete sakaii (I.A. Abbott) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Macrocystis pyrifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Macrocystis pyrifera (Linnaeus) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Maripelta rotata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Maripelta rotata (E.Y. Dawson) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus agardhii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus agardhii (Setchell & N.L. Gardner) S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus alaskensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus alaskensis S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus californianus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus californianus S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus cristatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus cristatus (Setchell) S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus intermedius,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus intermedius (Setchell & N.L. Gardner) S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus jardinii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mastocarpus jardinii (J. Agardh) J.A. West
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus latissimus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus latissimus (Harvey) S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus pachenicus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mastocarpus pachenicus L. Le Gall & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus papillatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mastocarpus papillatus (C. Agardh) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus rigidus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus rigidus S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mastocarpus vancouveriensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mastocarpus vancouveriensis S.C. Lindstrom, J.R. Hughey & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella affinis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella affinis (Harvey) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella californica (J. Agardh) De Toni f.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella coriacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella coriacea (E.Y. Dawson) J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella dewreedei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella dewreedei G.W. Saunders & K.R. Millar
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella flaccida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella flaccida (Setchell & N.L. Gardner) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella leptorhynchos,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella leptorhynchos (J. Agardh) G.L. Leister
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella linearis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella linearis (Setchell & N.L. Gardner) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella oregona,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mazzaella oregona (M.S. Doty) J.R. Hughey, P.C. Silva & M.H. Hommersand"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella parksii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mazzaella parksii (Setchell & N.L. Gardner) J.R. Hughey, P.C. Silva & M.H. Hommersand"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella parva,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Mazzaella parva (G.M. Smith & G.J. Hollenberg) J.R. Hughey, P.C. Silva, & M.H. Hommersand"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella rosea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella rosea (Kylin) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella sanguinea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella sanguinea (Setchell & N.L. Gardner) M.H. Hommersand
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella splendens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella splendens (Setchell & N.L. Gardner) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mazzaella volans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mazzaella volans (C. Agardh) S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Meiodiscus concrescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Meiodiscus concrescens (K.M. Drew) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanosiphon intestinalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanosiphon intestinalis (DeA. Saunders) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanosiphon intestinalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanosiphon intestinalis f. tenuis (Setchell & N.L. Gardner) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus bajacali,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus bajacali (G.J. Hollenberg) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus collabens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus collabens (C. Agardh) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus concinnus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus concinnus (G.J. Hollenberg) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus eastwoodiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus eastwoodiae (Setchell & N.L. Gardner) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus harveyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus harveyi (Bailey) P. Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus johnstonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus johnstonii (Setchell & N.L. Gardner) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus savatieri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus savatieri (Hariot) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melanothamnus simplex,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melanothamnus simplex (G.J. Hollenberg) Díaz-Tapia & Maggs
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melobesia marginata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melobesia marginata Setchell & Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Melobesia mediocris,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Melobesia mediocris (Foslie) Setchell & Mason
Kathy Ann UC Berkelely Current and former names for California seaweeds,Membranoptera platyphylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Membranoptera platyphylla (Setchell & N.L. Gardner) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Membranoptera tenuis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Membranoptera tenuis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Membranoptera weeksiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Membranoptera weeksiae Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mesophyllum conchatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mesophyllum conchatum (Setchell & Foslie) W.H. Adey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mesophyllum crassiusculum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mesophyllum crassiusculum (Foslie) P.A. Lebednik
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mesophyllum lamellatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mesophyllum lamellatum (Setchell & Foslie) W.H. Adey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Microzonia abyssicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Microzonia abyssicola (Setchell & N.L. Gardner) Camacho & S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Microzonia phinneyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Microzonia phinneyi (E.C. Henry & D.G. Müller) Camacho & S. Fredericq
Kathy Ann UC Berkelely Current and former names for California seaweeds,Minium parvum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Minium parvum Moe
Kathy Ann UC Berkelely Current and former names for California seaweeds,Monostroma grevillei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Monostroma grevillei (Thuret) Wittrock
Kathy Ann UC Berkelely Current and former names for California seaweeds,Monostroma oxyspermum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Monostroma oxyspermum (Kützing) M.S. Doty
Kathy Ann UC Berkelely Current and former names for California seaweeds,Mutimo cylindricus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Mutimo cylindricus (Okamura) H. Kawai & T. Kitayama
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myriogramme caespitosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myriogramme caespitosa E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myriogramme repens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myriogramme repens G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myriogramme spectabilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myriogramme spectabilis (Eaton) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myriogramme variegata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myriogramme variegata Yamada
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myrionema balticum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myrionema balticum (Reinke) Foslie
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myrionema corunnae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myrionema corunnae Sauvageau
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myrionema magnusii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myrionema magnusii (Sauvageau) S. Loiseaux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Myrionema strangulans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Myrionema strangulans Greville
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neevea repens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neevea repens Batters
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nemalion elminthoides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nemalion elminthoides (Velley) Batters
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neoagarum fimbriatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neoagarum fimbriatum (Harvey) H. Kawai & T. Hanyuda
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neochondria nidifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Neochondria nidifica (Harvey) S. Sutti, T. Abe, K.A. Miller & K. Kogame"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neogastroclonium subarticulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Neogastroclonium subarticulatum (Turner) L. Le Gall, Dalen & G.W. Saunders"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neogoniolithon setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neogoniolithon setchellii (Foslie) W.H. Adey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neopolyporolithon reclinatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neopolyporolithon reclinatum (Foslie) W.H. Adey & H.W. Johansen
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neorhodomela larix,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neorhodomela larix (Turner) M. Masuda
Kathy Ann UC Berkelely Current and former names for California seaweeds,Neorhodomela oregona,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Neorhodomela oregona (M.S. Doty) M. Masuda
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nereocystis luetkeana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nereocystis luetkeana (Mertens f.) Postels & Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nienburgia andersoniana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nienburgia andersoniana (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nitophyllum cincinnatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nitophyllum cincinnatum I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nitophyllum hollenbergii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nitophyllum hollenbergii (Kylin) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Nitophyllum northii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Nitophyllum northii G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Norrissia setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Norrissia setchellii (Kylin) M.S. Balakrishnan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Odonthalia floccosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Odonthalia floccosa (Esper) Falkenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Odonthalia washingtoniensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Odonthalia washingtoniensis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Olokunia meridionalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Olokunia meridionalis (G.J. Hollenberg & I.A. Abbott) Pestana, Lyra, Cassano & J.M.C. Nunes"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ophidocladus simpliciusculus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ophidocladus simpliciusculus (P.L. Crouan & H.M. Crouan) Falkenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Opuntiella californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Opuntiella californica (Farlow) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Osmundea blinksii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Osmundea blinksii (G.J. Hollenberg & I.A. Abbott) K.W. Nam
Kathy Ann UC Berkelely Current and former names for California seaweeds,Osmundea crispa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Osmundea crispa (G.J. Hollenberg) K.W. Nam
Kathy Ann UC Berkelely Current and former names for California seaweeds,Osmundea spectabilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Osmundea spectabilis var. diegoensis (E.Y. Dawson) K.W. Nam
Kathy Ann UC Berkelely Current and former names for California seaweeds,Osmundea spectabilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Osmundea spectabilis var. spectabilis (Postels & Ruprecht) K.W. Nam
Kathy Ann UC Berkelely Current and former names for California seaweeds,Osmundea splendens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Osmundea splendens (G.J. Hollenberg) K.W. Nam
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ozophora clevelandii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ozophora clevelandii (Farlow) I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ozophora latifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ozophora latifolia I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pachymeniopsis lanceolata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pachymeniopsis lanceolata (Okamura) Yamada ex S. Kawabata
Kathy Ann UC Berkelely Current and former names for California seaweeds,Palmaria hecatensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Palmaria hecatensis M.J. Hawkes
Kathy Ann UC Berkelely Current and former names for California seaweeds,Palmophyllum umbracola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Palmophyllum umbracola W. A. Nelson & Ryan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pelagophycus porra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pelagophycus porra (Leman) Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pelvetiopsis arborescens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pelvetiopsis arborescens N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pelvetiopsis californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pelvetiopsis californica (P.C. Silva) Neiva, Raimondi, Pearson & Serrão"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pelvetiopsis hybrida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Pelvetiopsis hybrida Neiva, Raimondi, Pearson & Serrão"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pelvetiopsis limitata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pelvetiopsis limitata (Setchell) N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Percursaria percursa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Percursaria percursa (C. Agardh) Rosenvinge
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petalonia binghamiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petalonia binghamiae (J. Agardh) Vinogradova
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petalonia fascia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petalonia fascia (O.F. Müller) Kuntze
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petroderma maculiforme,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petroderma maculiforme (Wollny) Kuckuck
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petroglossum pacificum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petroglossum pacificum G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petroglossum parvum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petroglossum parvum G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Petrospongium rugosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Petrospongium rugosum (Okamura) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Peyssonnelia dubyi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Peyssonnelia dubyi P.L. Crouan & H.M. Crouan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Peyssonnelia hairii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Peyssonnelia hairii G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Peyssonnelia pacifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Peyssonnelia pacifica Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Peyssonnelia profunda,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Peyssonnelia profunda G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Peyssonneliopsis epiphytica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Peyssonneliopsis epiphytica Setchell & G.W. Lawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phaeostrophion irregulare,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phaeostrophion irregulare Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phrix spatulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Phrix spatulata (E.Y. Dawson) M.J. Wynne, M. Kamiya & J.A. West"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys gardneri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys gardneri (Setchell) J.M. Freese & C.E. Lane
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys isabellae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys isabellae R.E. Norris & M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys ovifolia,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys ovifolia (Kützing) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys phycodricola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys phycodricola (E.Y. Dawson) J.M. Freese & C.E. Lane
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys profunda,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys profunda E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Phycodrys setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Phycodrys setchellii Skottsberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pikea californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pikea californica Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pikea pinnata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pikea pinnata Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Pilinella californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Pilinella californica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Planosiphon gracilis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Planosiphon gracilis (K. Kogame) D.C. McDevit & G.W. Saunders
