Project.Request	Scientific.Name	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MEGAYOLDIA MONTEREYENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MEGAYOLDIA THRACIAEFORMIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUCULA CARLOTTENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUCULA EXIGUA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUCULA PROFUNDORUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CRASSOSTREA VIRGINICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MAGALLANA ARIAKENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MAGALLANA GIGAS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MAGALLANA SIKAMEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OSTREA CONCHAPHILA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OSTREA EDULIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OSTREA LURIDA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ANOMIA PERUVIANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CATILLOPECTEN KNUDSENI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CATILLOPECTEN SQUAMIFORMIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHLAMYS ALBIDA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHLAMYS HASTATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHLAMYS RUBIDA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CRASSADOMA GIGANTEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CYCLOPECTEN BISTRIATUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CYCLOPECTEN INCONGRUUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	DELECTOPECTEN VANCOUVERENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	LEOPECTEN DIEGENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	LEPTOPECTEN LATIAURATUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PARVAMUSSIUM ALASKENSE	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PATINOPECTEN CAURINUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PODODESMUS MACROCHISMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PODODESMUS PERNOIDES	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PODODESMUS MACROCHISMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PROPEAMUSSIUM MERIDIONALE	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACHARAX JOHNSONI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	HUXLEYIA MUNITA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SOLEMYA REIDI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SOLEMYA VALVULUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ARCHIVESICA GIGAS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BERNARDINA BAKERI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CALLITHACA TENERRIMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CALYPTOGENA EXTENTA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CALYPTOGENA PACIFICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHAMA ARCANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHIONISTA FLUCTIFRAGA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHIONE CALIFORNIENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	COMPSOMYAX SUBDIAPHANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	COOPERELLA SUBDIAPHANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CORBICULA FLUMINEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	DIPLODONTA IMPOLITA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ECTENAGENA ELONGATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GEMMA GEMMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GLOBIVENUS FORDII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	HUMILARIA KENNERLEYI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	IRUSELLA LAMELLIFERA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	LEUKOMA LACINIATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	LEUKOMA STAMINEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MACTROMERIS CATILLIFORMIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MACTROMERIS POLYNYMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MACTROTOMA CALIFORNICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MERCENARIA MERCENARIA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NEOLEPTON SALMONEUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NEOLEPTON SUBTRIGONUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NEOTRAPEZIUM LIRATUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUTRICOLA CONFUSA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUTRICOLA LORDI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUTRICOLA OVALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NUTRICOLA TANTILLA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PETRICOLA CALIFORNIENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PETRICOLA CARDITOIDES	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PETRICOLARIA PHOLADIFORMIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PHREAGENA KILMERI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PITAR NEWCOMBIANUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PSEUDOCHAMA EXOGYRA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PSEUDOCHAMA GRANTI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PSEUDONEAERA SEMIPELLUCIDA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	RUDITAPES PHILIPPINARUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SAXIDOMUS GIGANTEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SAXIDOMUS NUTTALLI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SIMOMACTRA FALCATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	SIMOMACTRA PLANULATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TIVELA STULTORUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TRESUS ALLOMYAX	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TRESUS CAPAX	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TRESUS NUTTALLII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA GALATHEAE	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA PACIFICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA LEPTA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA STEARNSII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA EXTENTA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA GIGAS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA KILMERI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VESICOMYA PACKARDANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ZEMYSINA IMPOLITA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ZEMYSINA ORBELLA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OROBITELLA CALIFORNICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BATHYTEUTHIS ABYSSICOLA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	DORYTEUTHIS OPALESCENS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BATHYPOLYPUS SP.	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CIRROTHAUMA MURRAYI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ENTEROCTOPUS DOFLEINI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GRANELEDONE BOREOPACIFICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	HALIPHRON ATLANTICUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	JAPETELLA DIAPHANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	JAPETELLA HEATHI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MUUSOCTOPUS LEIODERMA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	MUUSOCTOPUS ROBUSTUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OCTOPUS BIMACULATUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OCTOPUS CALIFORNICUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OCTOPUS RUBESCENS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OPISTHOTEUTHIS CALIFORNIANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ABRALIOPSIS FELIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BERRYTEUTHIS MAGISTER	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CHIROTEUTHIS CALYX	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CRANCHIA SCABRA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	DOSIDICUS GIGAS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GALITEUTHIS PHYLLURA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GONATOPSIS BOREALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GONATUS BERRYI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GONATUS ONYX	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GONATUS PYROS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GRIMALDITEUTHIS BONPLANDII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	HISTIOTEUTHIS HETEROPSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OCTOPOTEUTHIS DELETRON	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ONYCHOTEUTHIS BOREALIJAPONICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ONYKIA ROBUSTA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	STIGMATOTEUTHIS DOFLEINI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TAONIUS BOREALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ROSSIA PACIFICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	VAMPYROTEUTHIS INFERNALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	RICTAXIS PUNCTOCAELATUS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	RISSOELLA HERTLEINI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	APLYSIA CALIFORNICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	APLYSIA VACCARIA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	PHYLLAPLYSIA TAYLORI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BATILLARIA ATTRAMENTARIA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BATILLARIA CUMINGII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CERITHIDEOPSIS CALIFORNICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CERITHIOPSIS CARPENTERI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	EPITONIUM HINDSII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	EPITONIUM INDIANORUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	EPITONIUM TINCTUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	JANTHINA GLOBOSA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	JANTHINA JANTHINA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	LIROBITTIUM ATTENUATUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	NEOSTYLIDIUM ESCHRICHTII	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OPALIA BOREALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OPALIA FUNICULATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	OPALIA WROBLEWSKYI	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	RUBYSPIRA OSTEOVORA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TRIPHORA PEDROANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	TURRIDAE SP.	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA CARINATA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA CEREALIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA CULCITELLA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA HARPA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA INCULTA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	ACTEOCINA INFREQUENS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	AGLAJA DIOMEDEA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	AGLAJA OCELLIGERA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	BULLA GOULDIANA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CYLICHNA ATTONSA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	CYLICHNA DIEGENSIS	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	DIAPHANA CALIFORNICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	GASTROPTERON PACIFICUM	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
Channel Islands, Greater Farallones, Monterey Bay, Olympic Coast  Species Inventory	HALOA JAPONICA	Steve Lonhart	steve.lonhart@noaa.gov	NA	Encountered
