Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
NAS Species List,Cynoscion othonopterus,Ann Holmes,aholmes@ucdavis.edu ,Gulf Corvina,Monitored
NAS Species List,Cynoscion parvipinnis,Ann Holmes,aholmes@ucdavis.edu ,Shortfin Corvina,Monitored
NAS Species List,Cynoscion xanthulus,Ann Holmes,aholmes@ucdavis.edu ,Orangemouth Corvina,Monitored
NAS Species List,Leiostomus xanthurus,Ann Holmes,aholmes@ucdavis.edu ,Spot,Monitored
NAS Species List,Menticirrhus nasus,Ann Holmes,aholmes@ucdavis.edu ,Highfin Kingfish,Monitored
NAS Species List,Menticirrhus undulatus,Ann Holmes,aholmes@ucdavis.edu ,California Corbina,Monitored
NAS Species List,Micropogonias megalops,Ann Holmes,aholmes@ucdavis.edu ,Gulf Croaker,Monitored
NAS Species List,Micropogonias undulatus,Ann Holmes,aholmes@ucdavis.edu ,Atlantic Croaker,Monitored
NAS Species List,Pogonias cromis,Ann Holmes,aholmes@ucdavis.edu ,Black Drum,Monitored
NAS Species List,Pogonias cromis x Sciaenops ocellatus,Ann Holmes,aholmes@ucdavis.edu ,Black Drum x Red Drum,Monitored
NAS Species List,Sciaenops ocellatus,Ann Holmes,aholmes@ucdavis.edu ,Red Drum,Monitored
NAS Species List,Totoaba macdonaldi,Ann Holmes,aholmes@ucdavis.edu ,Totoaba,Monitored
NAS Species List,Scomberomorus concolor,Ann Holmes,aholmes@ucdavis.edu ,Gulf Sierra,Monitored
NAS Species List,Pterois volitans/miles,Ann Holmes,aholmes@ucdavis.edu ,lionfish,Monitored
NAS Species List,Cephalopholis argus,Ann Holmes,aholmes@ucdavis.edu ,peacock hind,Monitored
NAS Species List,Cephalopholis urodeta,Ann Holmes,aholmes@ucdavis.edu ,darkfin hind,Monitored
NAS Species List,Chromileptes altivelis,Ann Holmes,aholmes@ucdavis.edu ,Panther Grouper,Monitored
NAS Species List,Epinephelus fasciatus,Ann Holmes,aholmes@ucdavis.edu ,blacktip grouper,Monitored
NAS Species List,Epinephelus hexagonatus,Ann Holmes,aholmes@ucdavis.edu ,starspotted grouper,Monitored
NAS Species List,Epinephelus irroratus,Ann Holmes,aholmes@ucdavis.edu ,Marquesan grouper,Monitored
NAS Species List,Epinephelus merra,Ann Holmes,aholmes@ucdavis.edu ,dwarf spotted grouper,Monitored
NAS Species List,Epinephelus ongus,Ann Holmes,aholmes@ucdavis.edu ,Summan grouper,Monitored
NAS Species List,Paralabrax maculatofasciatus,Ann Holmes,aholmes@ucdavis.edu ,Spotted Sand Bass,Monitored
NAS Species List,Siganus unimaculatus,Ann Holmes,aholmes@ucdavis.edu ,blotched foxface,Monitored
NAS Species List,Peprilus simillimus,Ann Holmes,aholmes@ucdavis.edu ,Pacific Pompano,Monitored
NAS Species List,Monopterus albus,Ann Holmes,aholmes@ucdavis.edu ,Asian Swamp Eel,Monitored
NAS Species List,Monopterus cuchia,Ann Holmes,aholmes@ucdavis.edu ,cuchia,Monitored
NAS Species List,Monopterus sp.,Ann Holmes,aholmes@ucdavis.edu ,jowled swamp eels,Monitored
NAS Species List,Terapon jarbua,Ann Holmes,aholmes@ucdavis.edu ,Jarbua terapon,Monitored
NAS Species List,Dichotomyctere nigroviridis,Ann Holmes,aholmes@ucdavis.edu ,spotted green pufferfish,Monitored
NAS Species List,Arothron diadematus,Ann Holmes,aholmes@ucdavis.edu ,masked pufferfish,Monitored
NAS Species List,Dallia pectoralis,Ann Holmes,aholmes@ucdavis.edu ,Alaska Blackfish,Monitored
NAS Species List,Novumbra hubbsi,Ann Holmes,aholmes@ucdavis.edu ,Olympic Mudminnow,Monitored
NAS Species List,Umbra limi,Ann Holmes,aholmes@ucdavis.edu ,Central Mudminnow,Monitored
NAS Species List,Zanclus cornutus,Ann Holmes,aholmes@ucdavis.edu ,Moorish Idol,Monitored
